설치기관명,소재지도로명주소,전화번호,데이터관리부서,데이터기준일자
"샛별4(2,3)차아파트"," 경기도 안양시 동안구 학의로 98 (비산동, 샛별한양아파트)",031-341-0390,안양시 동안구보건소,2025-12-22
샛별한양4-1차아파트," 경기도 안양시 동안구 달안로 61 (비산동, 샛별한양아파트)",031-341-8852,안양시 동안구보건소,2025-12-22
서울나우병원, 경기도 안양시 동안구 시민대로 388 (관양동),031-687-4106,안양시 동안구보건소,2025-12-22
서울소년분류심사원, 경기도 안양시 동안구 경수대로 500 서울소년분류심사원 (호계동),031-451-2683,안양시 동안구보건소,2025-12-22
서원의료재단 김형근예병원, 경기도 안양시 동안구 관악대로 458 (관양동),031-421-7575,안양시 동안구보건소,2025-12-22
신기중학교, 경기도 안양시 동안구 경수대로610번길 57 신기중학교 (호계동),031-459-3501,안양시 동안구보건소,2025-12-22
신촌동주민센터," 경기도 안양시 동안구 동안로 28 (호계동,신촌동주민센터) (호계동)",031-8045-4772,안양시 동안구보건소,2025-12-22
아벤스병원," 경기도 안양시 동안구 관평로 307, 센추리21프라자 (관양동)",031-387-2211,안양시 동안구보건소,2025-12-22
아크로베스티뉴아파트," 경기도 안양시 동안구 시민대로 124 (호계동, 아크로베스티뉴아파트)",031-477-9422,안양시 동안구보건소,2025-12-22
안양관양공공주택현장, 경기도 안양시 동안구 일동로 115 (관양동),,안양시 동안구보건소,2025-12-22
안양교도소, 경기도 안양시 동안구 경수대로508번길 42 안양교도소 (호계동),031-452-2181,안양시 동안구보건소,2025-12-22
안양남초등학교, 경기도 안양시 동안구 흥안대로 275(호계동),031-458-7816,안양시 동안구보건소,2025-12-22
안양덕현초등학교," 경기도 안양시 동안구 갈산로 34, 덕현초등학교 (호계동)",031-456-8091,안양시 동안구보건소,2025-12-22
안양도시공사," 경기도 안양시 동안구 평촌대로 389, 안양종합운동장 (비산동)",031-389-5238,안양시 동안구보건소,2025-12-22
안양도시공사(종합관리)," 경기도 안양시 동안구 평촌대로 389, 안양종합운동장 (비산동)",031-389-5238,안양시 동안구보건소,2025-12-22
안양동안경찰서," 경기도 안양시 동안구 동안로159번길 43 (비산동,동안경찰서)",031-478-7166,안양시 동안구보건소,2025-12-22
안양동초등학교," 경기도 안양시 동안구 임곡로80번길 34 비산동,안양동초등학교",031-441-4257,안양시 동안구보건소,2025-12-22
안양부흥초등학교, 경기도 안양시 동안구 달안로 37 안양부흥초등학교 (비산동),031-381-0324,안양시 동안구보건소,2025-12-22
안양소방서, 경기도 안양시 동안구 관평로212번길 32 안양소방서 (관양동),031-470-0432,안양시 동안구보건소,2025-12-22
안양시노인종합복지관, 경기도 안양시 동안구 경수대로665번길 74-30 안양시노인종합복지관(호계동),031-455-0551,안양시 동안구보건소,2025-12-22
안양시동안청소년수련관, 경기도 안양시 동안구 동안로 155 동안청소년수련관 (비산동),031-8045-4921,안양시 동안구보건소,2025-12-22
안양시립호계도서관," 경기도 안양시 동안구 경수대로685번길 26, 안양시립호계도서관 (호계동)",031-8045-6253,안양시 동안구보건소,2025-12-22
안양시재난안전체험관," 경기도 안양시 동안구 경수대로 504, 호계복합청사 및 호계3동 주민센터 4층 (호계동)",031-8045-2705,안양시 동안구보건소,2025-12-22
안양시청," 경기도 안양시 동안구 시민대로 235, 안양시청 (관양동)",031-8045-5857,안양시 동안구보건소,2025-12-22
안양시청(생태하천과)," 경기도 안양시 동안구 시민대로 235, 안양시청 (관양동)",031-8045-4282,안양시 동안구보건소,2025-12-22
안양시청(회계과)," 경기도 안양시 동안구 시민대로 235, 안양시청 (관양동)",031-8045-2469,안양시 동안구보건소,2025-12-22
안양신기초등학교," 경기도 안양시 동안구 동안로 26, 신기초등학교 (호계동)",031-384-6457,안양시 동안구보건소,2025-12-22
안양어린이도서관," 경기도 안양시 동안구 동안로 66, 안양어린이도서관 (호계동)",031-8045-6271,안양시 동안구보건소,2025-12-22
안양우편집중국," 경기도 안양시 동안구 평촌대로 212, 안양우편집중국 (관양동)",031-389-9364,안양시 동안구보건소,2025-12-22
안양윌스기념병원," 경기도 안양시 동안구 경수대로 560, 안양남부새마을금고 (호계동)",031-406-1010,안양시 동안구보건소,2025-12-22
안양중앙초등학교," 경기도 안양시 동안구 경수대로883번길 11, 중앙초등학교 (비산동)",031-442-7714,안양시 동안구보건소,2025-12-22
안양평촌동복합개발사업현장," 경기도 안양시 동안구 흥안대로 313, 안양시 농수산물도매시장 (평촌동)",031-421-0263,안양시 동안구보건소,2025-12-22
엘에스엠트론(주), 경기도 안양시 동안구 엘에스로116번길 39(호계동),031-8045-0441,안양시 동안구보건소,2025-12-22
엘에스오토모티브테크놀로지스," 경기도 안양시 동안구 시민대로 260, 안양금융센터 A.F.C 16층 (관양동)",031-5177-1627,안양시 동안구보건소,2025-12-22
우체국물류지원단 경인지사 안양물류사업소," 경기도 안양시 동안구 시민대로 121, 안양우편물류센터 (호계동)",031-342-9425,안양시 동안구보건소,2025-12-22
은하수벽산아파트," 경기도 안양시 동안구 시민대로159번길 62 (비산동,은하수벽산아파트)",031-381-0875,안양시 동안구보건소,2025-12-22
은하수신성아파트," 경기도 안양시 동안구 달안로 40 (비산동, 은하수신성아파트)",031-382-1952,안양시 동안구보건소,2025-12-22
은하수청구아파트," 경기도 안양시 동안구 시민대로159번길 59 (비산동,은하수청구아파트)",031-381-0850,안양시 동안구보건소,2025-12-22
인덕원대림2차아파트," 경기도 안양시 동안구 흥안대로414번길 39 (평촌동, 인덕원 대림2차 아파트)",031-426-9172,안양시 동안구보건소,2025-12-22
인덕원삼성아파트," 경기도 안양시 동안구 안양판교로 42 (관양동, 인덕원마을삼성아파트)",031-424-6487,안양시 동안구보건소,2025-12-22
인덕원센트럴푸르지오," 경기도 안양시 동안구 학의로 390 (평촌동,인덕원대우아파트푸른마을)",031-425-3913,안양시 동안구보건소,2025-12-22
인덕원역, 경기도 안양시 동안구 흥안대로 지하 529 인덕원역 (관양동),031-422-7788,안양시 동안구보건소,2025-12-22
임곡중학교, 경기도 안양시 동안구 임곡로 105 임곡중학교 (비산동),031-8084-4119,안양시 동안구보건소,2025-12-22
청계통합정수장,경기도 의왕시 덕장로 69(청계동),031-8045-5332,안양시 동안구보건소,2025-12-22
초원5단지LG아파트," 경기도 안양시 동안구 부림로 52 (평촌동,초원5단지LG아파트)",031-423-3823,안양시 동안구보건소,2025-12-22
초원대림아파트," 경기도 안양시 동안구 귀인로 237 (평촌동,초원대림아파트)",031-387-4364,안양시 동안구보건소,2025-12-22
초원마을대원아파트," 경기도 안양시 동안구 부림로 55 (평촌동,초원대원아파트)",031-383-5628,안양시 동안구보건소,2025-12-22
초원부영아파트," 경기도 안양시 동안구 관평로138번길 63 (평촌동, 초원부영아파트)",031-346-2311,안양시 동안구보건소,2025-12-22
초원세경아파트," 경기도 안양시 동안구 관평로138번길 13 (평촌동,초원세경아파트)",031-387-7924,안양시 동안구보건소,2025-12-22
초원한양아파트," 경기도 안양시 동안구 부림로 80 (평촌동,초원한양아파트)",031-422-3077,안양시 동안구보건소,2025-12-22
쿠팡로지스틱스안양1캠프," 경기도 안양시 동안구 흥안대로439번길 30, 안양물류센터 (관양동)",070-4125-1913,안양시 동안구보건소,2025-12-22
평안동행정복지센터," 경기도 안양시 동안구 관평로138번길 39, 평안동주민센터 (평촌동)",031-8045-4132,안양시 동안구보건소,2025-12-22
평촌고등학교," 경기도 안양시 동안구 동안로 80 (호계동,평촌고등학교)",031-383-4824,안양시 동안구보건소,2025-12-22
평촌더샵센트럴시티," 경기도 안양시 동안구 시민대로327번길 55 (관양동,평촌더샵센트럴시티)",031-422-9550,안양시 동안구보건소,2025-12-22
평촌더샵아이파크," 경기도 안양시 동안구 경수대로610번길 36 (호계동, 평촌더샵 아이파크)",031-429-5783,안양시 동안구보건소,2025-12-22
평촌동행정복지센타, 경기도 안양시 동안구 흥안대로456번길 21 (평촌동),031-8045-4121,안양시 동안구보건소,2025-12-22
평촌두산위브리버뷰아파트," 경기도 안양시 동안구 엘에스로45번길 30(호계동, 평촌 두산위브 리버뷰)",031-429-7713,안양시 동안구보건소,2025-12-22
평촌래미안푸르지오아파트," 경기도 안양시 동안구 경수대로884번길 12, 평촌래미안푸르지오 (비산동)",031-356-5016,안양시 동안구보건소,2025-12-22
평촌목련2단지(대우선경)," 경기도 안양시 동안구 동안로 102 (호계동, 목련선경아파트)",031-381-2008,안양시 동안구보건소,2025-12-22
평촌센텀퍼스트아파트," 경기도 안양시 동안구 갈산로 15 (호계동, 평촌센텀퍼스트)",031-427-8896,안양시 동안구보건소,2025-12-22
평촌센텀퍼스트커뮤니티센터," 경기도 안양시 동안구 갈산로 15 (호계동, 평촌센텀퍼스트)",070-4117-8892,안양시 동안구보건소,2025-12-22
평촌어바인퍼스트," 경기도 안양시 동안구 경수대로 581, 평촌어바인퍼스트아파트 (호계동)",031-360-0542,안양시 동안구보건소,2025-12-22
평촌어바인퍼스트2단지, 경기도 안양시 동안구 경수대로 583 (호계동),031-360-0242,안양시 동안구보건소,2025-12-22
평촌엘프라우드아파트," 경기도 안양시 동안구 매곡로 23 (비산동, 평촌엘프라우드)",031-382-4700,안양시 동안구보건소,2025-12-22
평촌역, 경기도 안양시 동안구 부림로 지하 123 평촌역(관양동),031-383-7788,안양시 동안구보건소,2025-12-22
평촌역상가연합회," 경기도 안양시 동안구 관평로182번길 42, 남경빌딩 (관양동)",031-386-4380,안양시 동안구보건소,2025-12-22
평촌우리병원," 경기도 안양시 동안구 관악대로 221, 우리병원 (비산동)",031-463-0021,안양시 동안구보건소,2025-12-22
평촌자이아이파크아파트," 경기도 안양시 동안구 비산로 22, 평촌자이아이파크 (비산동)",031-464-2226,안양시 동안구보건소,2025-12-22
평촌중앙병원," 경기도 안양시 동안구 평촌대로223번길 49, 아트타워빌딩 (호계동)",031-387-0114,안양시 동안구보건소,2025-12-22
평촌중학교, 경기도 안양시 동안구 관평로 127 평촌중학교 (평촌동),031-381-0050,안양시 동안구보건소,2025-12-22
평촌트리지아아파트1단지," 경기도 안양시 동안구 귀인로98번길 12 (호계동, 평촌트리지아아파트 1단지)",031-360-0607,안양시 동안구보건소,2025-12-22
평촌트리지아아파트2단지," 경기도 안양시 동안구 귀인로 110 (호계동, 평촌트리지아아파트 2단지)",031-360-5033,안양시 동안구보건소,2025-12-22
평촌트리지아아파트3단지," 경기도 안양시 동안구 귀인로80번길 193 (호계동, 평촌트리지아아파트 3단지)",031-360-7010,안양시 동안구보건소,2025-12-22
하늘빛재활의학과병원, 경기도 안양시 동안구 경수대로 887 (비산동),031-451-0090,안양시 동안구보건소,2025-12-22
한가람삼성아파트," 경기도 안양시 동안구 학의로 146 (관양동, 한가람삼성아파트)",031-385-8467,안양시 동안구보건소,2025-12-22
한가람세경아파트," 경기도 안양시 동안구 달안로 110 (관양동, 한가람세경아파트)",031-387-1353,안양시 동안구보건소,2025-12-22
한가람신라아파트," 경기도 안양시 동안구 달안로 124 (관양동, 한가람신라아파트)",031-381-1667,안양시 동안구보건소,2025-12-22
한가람한양아파트," 경기도 안양시 동안구 학의로 120 (관양동, 한가람한양아파트)",031-386-0193,안양시 동안구보건소,2025-12-22
한국마사회시설관리(주)," 경기도 안양시 동안구 동편로 54-11, 디어스 6층 A호 (관양동)",031-349-6054,안양시 동안구보건소,2025-12-22
한림대성심병원," 경기도 안양시 동안구 관평로170번길 22, 한림대학교성심병원 (평촌동)",031-380-5965,안양시 동안구보건소,2025-12-22
한림대학교 성심병원," 경기도 안양시 동안구 관평로170번길 22, 한림대학교성심병원 (평촌동)",031-380-4136,안양시 동안구보건소,2025-12-22
한마음임광1차아파트," 경기도 안양시 동안구 경수대로797번길 5 (호계동, 한마음아파트)",031-454-4716,안양시 동안구보건소,2025-12-22
한화건설(월곶판교복선전철제7공구), 경기도 안양시 동안구 관악대로 373 (관양동),031-689-4708,안양시 동안구보건소,2025-12-22
향촌롯데아파트," 경기도 안양시 동안구 평촌대로180번길 28 (평촌동, 향촌롯데아파트)",031-383-0539,안양시 동안구보건소,2025-12-22
향촌현대4차아파트," 경기도 안양시 동안구 귀인로 193 (평촌동, 향촌현대4차아파트)",031-382-3038,안양시 동안구보건소,2025-12-22
향촌현대5차아파트," 경기도 안양시 동안구 귀인로 213 (평촌동, 향촌현대5차아파트)",031-383-1700,안양시 동안구보건소,2025-12-22
현대차증권(경인지점), 경기도 안양시 동안구 시민대로 206 (호계동),031-446-7001,안양시 동안구보건소,2025-12-22
호계1차현대홈타운아파트," 경기도 안양시 동안구 경수대로733번길 23 (호계동, 호계1차 현대홈타운)",031-459-0052,안양시 동안구보건소,2025-12-22
호계2동행정복지센터," 경기도 안양시 동안구 경수대로 657, 호계2동 행정복지센터 (호계동)",031-8045-4171,안양시 동안구보건소,2025-12-22
호계2차현대홈타운," 경기도 안양시 동안구 경수대로 462 (호계동,호계2차현대홈타운)",031-427-1861,안양시 동안구보건소,2025-12-22
호계3동주민센터, 경기도 안양시 동안구 경수대로 504 호계3동주민센터 (호계동),031-8045-4730,안양시 동안구보건소,2025-12-22
호계e편한세상대림아파트," 경기도 안양시 동안구 경수대로 430 (호계동,호계e-편한세상아파트)",031-477-2362,안양시 동안구보건소,2025-12-22
호계럭키아파트," 경기도 안양시 동안구 경수대로623번길 46 (호계동, 럭키호계아파트)",031-459-2894,안양시 동안구보건소,2025-12-22
호계배드민턴장, 경기도 안양시 동안구 귀인로80번길 52 호계배드민턴협회 (호계동),031-477-8756,안양시 동안구보건소,2025-12-22
호계종합시장, 경기도 안양시 동안구 흥안대로133번길 59-2(호계동),031-453-4766,안양시 동안구보건소,2025-12-22
호계중학교, 경기도 안양시 동안구 경수대로665번길 74-23 호계중학교 (호계동),031-390-1660,안양시 동안구보건소,2025-12-22
호계초등학교," 경기도 안양시 동안구 경수대로707번길 27, 호계초등학교 (호계동)",031-452-5200,안양시 동안구보건소,2025-12-22
호성중학교," 경기도 안양시 동안구 호성로 55 (호계동,호성중학교) (호계동)",031-451-7924,안양시 동안구보건소,2025-12-22
호성초등학교, 경기도 안양시 동안구 호성로 43-2 호성초등학교 (호계동),031-452-5204,안양시 동안구보건소,2025-12-22
호원초등학교," 경기도 안양시 동안구 경수대로623번길 72, 호원초등학교 (호계동)",031-347-6738,안양시 동안구보건소,2025-12-22
호원초등학교병설유치원," 경기도 안양시 동안구 경수대로623번길 72, 호원초등학교 (호계동)",031-452-6479,안양시 동안구보건소,2025-12-22
홈플러스평촌점, 경기도 안양시 동안구 동안로 162 홈플러스 평촌점(비산동),031-470-8121,안양시 동안구보건소,2025-12-22
희성초등학교," 경기도 안양시 동안구 학의로 86, 희성초등학교 (비산동)",031-340-6901,안양시 동안구보건소,2025-12-22
힐스테이트인덕원역베르텍스아파트," 경기도 안양시 동안구 흥안대로434번길 19 (평촌동, 힐스테이트인덕원역베르텍스)",031-426-9090,안양시 동안구보건소,2025-12-22
